Pasal-Ayat,Isi
1303,"Tiap ahli waris kreditur dapat menuntut pelaksanaan suatu perikatan yang tak dapat dibagi-bagi secara keseluruhan. Tiada seorang pun di antara mereka diperbolehkan sendirian memberi pembebasan dari seluruh utang maupun menerima harganya sebagai ganti barang. Jika hanya salah satu ahli waris memberi pembebasan dari utang yang bersangkutan, atau menerima harga barang yang bersangkutan, maka para ahli waris lainnya tidak dapat menuntut barang tak dapat dibagi-bagi itu, kecuali dengan memperhitungkan bagian dari ahli waris yang telah memberikan pembebasan dari utang atau yang telah menerima harga barang itu."
1304,"Perjanjian hukuman adalah suatu perjanjian yang menempatkan seseorang sebagai jaminan pelaksanaan suatu perikatan yang mewajibkannya melakukan sesuatu, jika ia tidak melaksanakan hal itu"
1305,"Batalnya perikatan pokok mengakibatkan batalnya perjanjian hukuman. Tidak berlakunya perjanjian hukuman, sama sekali tidak mengakibatkan batalnya perjanjian/ perikatan pokok."
1306,Kreditur dapat juga menuntut pemenuhan perikatan pokok sebagai pengganti pelaksanaan hukuman terhadap kreditur.
1307,"Penetapan hukuman dimaksudkan sebagai ganti penggantian biaya, kerugian dan bunga, yang diderita kreditur karena tidak dipenuhi perikatan pokok. Ia tidak dapat menuntut utang pokok dan hukumannya bersama-sama, kecuali jika hukuman itu ditetapkan hanya untuk terlambatnya pemenuhan."
1308,"Entah perikatan pokok itu memuat ketentuan waktu untuk pelaksanaannya entah tidak, hukuman tidak dikenakan, kecuali jika orang yang terikat untuk memberikan sesuatu atau untuk mengerjakan sesuatu itu tidak melaksanakan hal itu."
1309,"Hukuman dapat diubah oleh Hakim, jika sebagian perikatan pokok telah dilaksanakan."
1310,"Jika perikatan pokok yang memuat penetapan hukuman adalah mengenai suatu barang yang tak dapat dibagi-bagi, maka hukuman harus dibayar kalau terjadi pelanggaran oleh salah satu ahli waris debitur, dan hukuman ini dapat dituntut, baik untuk seluruhnya dari siapa yang melakukan pelanggaran terhadap perikatan maupun dari masing-masing ahli waris untuk bagiannya, tetapi tanpa mengurangi hak mereka untuk menuntut kembali siapa yang menyebabkan hukuman harus dibayar, segala sesuatu tidak mengurangi hak-hak kreditur hipotek."
1311,"Jika perikatan pokok dengan penetapan hukuman itu adalah mengenai suatu barang yang dapat dibagi-bagi, maka hukuman hanya harus dibayar oleh ahli waris debitur yang melanggar perikatan, dan hanya untuk jumlah yang tidak melebihi bagiannya dalam perikatan pokok, tanpa ada tuntutan terhadap mereka yang telah memenuhi perikatan. Peraturan ini dikecualikan, jika perjanjian hukuman ditambah dengan maksud supaya pemenuhan tidak terjadi untuk sebagian, dan salah satu ahli waris telah menghalangi pelaksanaan perikatan untuk seluruh dan dari para ahli waris yang lain hanya untuk bagian mereka, tanpa mengurangi hak mereka untuk menuntut ahli waris yang melanggar perikatan."
1312,"Jika suatu perikatan pokok yang dapat dibagi-bagi dan memakai penetapan hukuman yang tak dapat dibagi-bagi hanya dipenuhi untuk sebagian, maka hukuman terhadap ahli waris debitur diganti dengan pembayaran penggantian biaya, kerugian dan bunga."
1313,Suatu persetujuan adalah suatu perbuatan dimana satu orang atau lebih mengikatkan diri terhadap satu orang lain atau lebih.
1314,"Suatu persetujuan diadakan dengan cuma-cuma atau dengan memberatkan. Suatu persetujuan cuma-cuma adalah suatu persetujuan, bahwa pihak yang satu akan memberikan suatu keuntungan kepada pihak yang lain tanpa menerima imbalan. Suatu persetujuan memberatkan adalah suatu persetujuan yang mewajibkan tiap pihak untuk memberikan sesuatu, melakukan sesuatu atau tidak melakukan sesuatu."
1315,Pada umumnya seseorang tidak dapat mengadakan pengikatan atau perjanjian selain untuk dirinya sendiri.
1316,"Seseorang boleh menanggung seorang pihak ketiga dan menjanjikan bahwa pihak ketiga mi akan berbuat sesuatu, tetapi hal mi tidak mengurangi tuntutan ganti rugi terhadap penanggung atau orang yang berjanji itu, jika pihak ketiga tersebut menolak untuk memenuhi perjanjian itu."
1317,"Dapat pula diadakan perjanjian untuk kepentingan orang ketiga, bila suatu perjanjian yang dibuat untuk diri sendiri, atau suatu pemberian kepada orang lain, mengandung syarat semacam itu. Siapa pun yang telah menentukan suatu syarat, tidak boleh menariknya kembali, jika pihak ketiga telah menyatakan akan mempergunakan syarat itu."
1318,"Orang dianggap memperoleh sesuatu dengan perjanjian untuk diri sendiri dan untuk ahli warisnya dan orang yang memperoleh hak daripadanya, kecuali jika dengan tegas ditetapkan atau telah nyata dan sifat persetujuan itu bahwa bukan itu maksudnya."
1319,"Semua persetujuan, baik yang mempunyai nama khusus maupun yang tidak dikenal dengan suatu nama tertentu, tunduk pada peraturan umum yang termuat dalam bab ini dan bab yang lain."
1320,"Supaya terjadi persetujuan yang sah, perlu dipenuhi empat syarat,1. kesepakatan mereka yang mengikatkan dirinya,2. kecakapan untuk membuat suatu perikatan, 3. suatu pokok persoalan tertentu, 4. suatu sebab yang tidak terlarang"
1321,Tiada suatu persetujuan pun mempunyai kekuatan jika diberikan karena kekhilafan atau diperoleh dengan paksaan atau penipuan.
1322,"Kekhilafan tidak mengakibatkan batalnya suatu persetujuan, kecuali jika kekhilafan itu terjadi mengenai hakikat barang yang menjadi pokok persetujuan. Kekhilafan tidak mengakibatkan kebatalan, jika kekhilafan itu hanya terjadi mengenai diri orang yang dengannya seseorang bermaksud untuk mengadakan persetujuan, kecuali jika persetujuan itu diberikan terutama karena diri orang yang bersangkutan."
1323,"Paksaan yang diakukan terhadap orang yang mengadakan suatu persetujuan mengakibatkan batalnya persetujuan yang bersangkutan, juga bila paksaan itu dilakukan oleh pihak ketiga yang tidak berkepentingan dalam persetujuan yang dibuat itu."
1324,"Paksaan terjadi, bila tindakan itu sedemikian rupa sehingga memberi kesan dan dapat menimbulkan ketakutan pada orang yang berakal sehat, bahwa dirinya, orang-orangnya, atau kekayaannya, terancam rugi besar dalam waktu dekat. Dalam pertimbangan hal tersebut, harus diperhatikan usia, jenis kelamin dan kedudukan orang yang bersangkutan."
1325,"Paksaan menjadikan suatu persetujuan batal, bukan hanya bila dilakukan terhadap salah satu pihak yang membuat persetujuan, melainkan juga bila dilakukan terhadap suami atau istri atau keluarganya dalam garis ke atas maupun ke bawah."
1326,"Rasa takut karena hormat kepada bapak, ibu atau keluarga lain dalam garis ke atas, tanpa disertai kekerasan, tidak cukup untuk membatalkan persetujuan."
1327,"Pembatalan suatu persetujuan berdasarkan paksaan tidak dapat dituntut lagi, bila setelah paksaan berhenti persetujuan itu dibenarkan, baik secara tegas maupun secara diam-diam, atau jika telah dibiarkan lewat waktu yang ditetapkan oleh undang-undang untuk dapat dipulihkan seluruhnya ke keadaan sebelumnya."
1328,"Penipuan merupakan suatu alasan untuk membatalkan suatu persetujuan, bila penipuan yang dipakai oleh salah satu pihak adalah sedemikian rupa, sehingga nyata bahwa pihak yang lain tidak akan mengadakan perjanjian itu tanpa adanya tipu muslihat. Penipuan tidak dapat hanya dikirakira, melainkan harus dibuktikan."
1329,"Tiap orang berwenang untuk membuat perikatan, kecuali jika ia dinyatakan tidak cakap untuk hal itu."
1330,"Yang tak cakap untuk membuat persetujuan adalah, 1. anak yang belum dewasa, 2. orang yang ditaruh di bawah pengampuan, 3. perempuan yang telah kawin dalam hal-hal yang ditentukan undang-undang dan pada umumnya semua orang yang oleh undang-undang dilarang untuk membuat persetujuan tertentu"
1331,"Oleh karena itu, orang-orang yang dalam pasal yang lalu dinyatakan tidak cakap untuk membuat persetujuan, boleh menuntut pembatalan perikatan yang telah mereka buat dalam hal kuasa untuk itu tidak dikecualikan oleh undang-undang. Orang-orang yang cakap untuk mengikatkan diri, sama sekali tidak dapat mengemukakan sangkalan atas dasar ketidakcakapan seorang anak-anak yang belum dewasa, orang-orang yang ditaruh di bawah pengampuan dan perempuan-perempuan yang bersuami."
1332,Hanya barang yang dapat diperdagangkan saja yang dapat menjadi pokok persetujuan.
1333,"Suatu persetujuan harus mempunyai pokok berupa suatu barang yang sekurang-kurangnya ditentukan jenisnya. Jumlah barang itu tidak perlu pasti, asal saja jumlah itu kemudian dapat ditentukan atau dihitung."
